
time;ax;ay;az;wx;wy;wz;
5.0010;0.2471;3.1937;0.9728;2.0245;-4.2934;1.1170;
5.0490;0.2471;3.1937;0.9728;2.0245;-4.2934;1.1170;
5.0510;0.2471;3.1937;0.9728;2.0245;-4.2934;1.1170;
5.0520;0.2471;3.1937;0.9728;1.5882;-3.2986;0.2443;
5.0530;-5.5089;4.7904;-0.9851;1.5882;-3.2986;0.2443;
5.1280;-5.5089;4.7904;-0.9851;1.5882;-3.2986;0.2443;
5.1290;-5.5089;4.7904;-0.9851;1.5882;-3.2986;0.2443;
5.1310;-5.5089;4.7904;-0.9851;1.0646;-2.3910;0.3490;
5.1320;-6.3488;4.7498;-0.6403;1.0646;-2.3910;0.3490;
5.1810;-6.3488;4.7498;-0.6403;1.0646;-2.3910;0.3490;
5.1830;-6.3488;4.7498;-0.6403;1.0646;-2.3910;0.3490;
5.1840;-6.3488;4.7498;-0.6403;0.1745;-0.8203;-1.4835;
5.1850;11.8763;-7.3936;-6.1563;0.1745;-0.8203;-1.4835;
5.2660;11.8763;-7.3936;-6.1563;0.1745;-0.8203;-1.4835;
5.2740;11.8763;-7.3936;-6.1563;-0.0872;-0.4363;-2.8448;
5.2750;4.5747;2.9659;-5.4028;-0.0872;-0.4363;-2.8448;
5.2760;4.5747;2.9659;-5.4028;-0.0872;-0.4363;-2.8448;
5.3130;4.5747;2.9659;-5.4028;-0.0872;-0.4363;-2.8448;
5.3150;4.5747;2.9659;-5.4028;-0.0872;-0.4363;-2.8448;
5.3160;4.5747;2.9659;-5.4028;-0.5410;-0.0524;-3.0542;
5.3170;1.8620;-8.0849;-0.0923;-0.5410;-0.0524;-3.0542;
5.3790;1.8620;-8.0849;-0.0923;-0.5410;-0.0524;-3.0542;
5.3810;1.8620;-8.0849;-0.0923;-0.5410;-0.0524;-3.0542;
5.3820;1.8620;-8.0849;-0.0923;-0.8901;0.1047;-2.1292;
5.3830;-6.0469;4.5599;2.6669;-0.8901;0.1047;-2.1292;
5.4450;-6.0469;4.5599;2.6669;-0.8901;0.1047;-2.1292;
5.4470;-6.0469;4.5599;2.6669;-0.8901;0.1047;-2.1292;
5.4480;-6.0469;4.5599;2.6669;-0.9773;0.1571;0.2443;
5.4490;-2.7695;-0.6510;2.9445;-0.9773;0.1571;0.2443;
5.5340;-2.7695;-0.6510;2.9445;-0.9773;0.1571;0.2443;
5.5360;-2.7695;-0.6510;2.9445;-0.9773;0.1571;0.2443;
5.5370;-2.7695;-0.6510;2.9445;-0.9250;0.0698;0.3141;
5.5380;2.7422;-0.6640;-1.5233;-0.9250;0.0698;0.3141;
5.5770;2.7422;-0.6640;-1.5233;-0.9250;0.0698;0.3141;
5.5790;2.7422;-0.6640;-1.5233;-0.9250;0.0698;0.3141;
5.5800;2.7422;-0.6640;-1.5233;-0.4712;-0.2792;0.1222;
5.5810;0.9217;2.4416;2.5126;-0.4712;-0.2792;0.1222;
5.6430;0.9217;2.4416;2.5126;-0.4712;-0.2792;0.1222;
5.6450;0.9217;2.4416;2.5126;-0.4712;-0.2792;0.1222;
5.6470;0.9217;2.4416;2.5126;-0.1571;-0.9075;-0.2967;
5.6480;0.4222;1.1262;-1.6822;-0.1571;-0.9075;-0.2967;
5.7090;0.4222;1.1262;-1.6822;-0.1571;-0.9075;-0.2967;
5.7110;0.4222;1.1262;-1.6822;-0.1571;-0.9075;-0.2967;
5.7120;0.4222;1.1262;-1.6822;0.1222;-1.4137;-0.5061;
5.7140;0.0023;-1.3864;-0.1676;0.1222;-1.4137;-0.5061;
5.7750;0.0023;-1.3864;-0.1676;0.1222;-1.4137;-0.5061;
5.7780;0.0023;-1.3864;-0.1676;0.1222;-1.4137;-0.5061;
5.7790;0.0023;-1.3864;-0.1676;0.1571;-1.4660;-0.4538;
5.7810;3.3677;0.4595;1.5709;0.1571;-1.4660;-0.4538;
5.8420;3.3677;0.4595;1.5709;0.1571;-1.4660;-0.4538;
5.8430;3.3677;0.4595;1.5709;0.1571;-1.4660;-0.4538;
