
time;ax;ay;az;wx;wy;wz;
4.1140;-0.0539;-4.9433;-1.2169;-0.2967;-1.0821;0.2269;
4.1140;-0.0539;-4.9433;-1.2169;-0.8377;-1.3264;-0.8377;
4.1150;1.2900;4.6610;6.2850;-0.8377;-1.3264;-0.8377;
4.1780;1.2900;4.6610;6.2850;-0.8377;-1.3264;-0.8377;
4.1800;1.2900;4.6610;6.2850;-0.8377;-1.3264;-0.8377;
4.1810;1.2900;4.6610;6.2850;-0.8901;-1.2042;-0.9948;
4.1810;1.4903;-0.8573;1.5889;-0.8901;-1.2042;-0.9948;
4.2440;1.4903;-0.8573;1.5889;-0.8901;-1.2042;-0.9948;
4.2460;1.4903;-0.8573;1.5889;-0.8901;-1.2042;-0.9948;
4.2470;1.4903;-0.8573;1.5889;-0.5585;-0.6806;-0.6981;
4.2470;-1.4178;1.3613;1.6955;-0.5585;-0.6806;-0.6981;
4.3100;-1.4178;1.3613;1.6955;-0.5585;-0.6806;-0.6981;
4.3120;-1.4178;1.3613;1.6955;-0.5585;-0.6806;-0.6981;
4.3130;-1.4178;1.3613;1.6955;0.0000;-0.2094;-0.1920;
4.3130;-1.5097;-0.0184;2.7502;0.0000;-0.2094;-0.1920;
4.3760;-1.5097;-0.0184;2.7502;0.0000;-0.2094;-0.1920;
4.3780;-1.5097;-0.0184;2.7502;0.0000;-0.2094;-0.1920;
4.3780;-1.5097;-0.0184;2.7502;0.4712;0.1396;0.2269;
4.3790;-0.8439;0.0431;-3.7537;0.4712;0.1396;0.2269;
4.4420;-0.8439;0.0431;-3.7537;0.4712;0.1396;0.2269;
4.4440;-0.8439;0.0431;-3.7537;0.4712;0.1396;0.2269;
4.4450;-0.8439;0.0431;-3.7537;0.7679;0.3316;0.4014;
4.4450;-0.2687;1.1333;1.7767;0.7679;0.3316;0.4014;
4.5080;-0.2687;1.1333;1.7767;0.7679;0.3316;0.4014;
4.5100;-0.2687;1.1333;1.7767;0.7679;0.3316;0.4014;
4.5110;-0.2687;1.1333;1.7767;0.8377;0.2967;0.3141;
4.5110;-2.5888;-2.1461;0.1790;0.8377;0.2967;0.3141;
4.5740;-2.5888;-2.1461;0.1790;0.8377;0.2967;0.3141;
4.5760;-2.5888;-2.1461;0.1790;0.8377;0.2967;0.3141;
4.5770;-2.5888;-2.1461;0.1790;0.7156;0.1396;0.1222;
4.5770;-3.6121;-2.1272;1.1235;0.7156;0.1396;0.1222;
4.6400;-3.6121;-2.1272;1.1235;0.7156;0.1396;0.1222;
4.6420;-3.6121;-2.1272;1.1235;0.7156;0.1396;0.1222;
4.6430;-3.6121;-2.1272;1.1235;0.5410;-0.0698;-0.0349;
4.6430;0.2374;-0.9340;1.5490;0.5410;-0.0698;-0.0349;
4.7230;0.2374;-0.9340;1.5490;0.5410;-0.0698;-0.0349;
4.7310;0.2374;-0.9340;1.5490;0.3840;-0.2967;-0.1571;
4.7320;2.6025;-2.5836;0.2740;0.3840;-0.2967;-0.1571;
4.7330;2.6025;-2.5836;0.2740;0.3840;-0.2967;-0.1571;
4.7720;2.6025;-2.5836;0.2740;0.3840;-0.2967;-0.1571;
4.7740;2.6025;-2.5836;0.2740;0.3840;-0.2967;-0.1571;
4.7740;2.6025;-2.5836;0.2740;0.2269;-0.4712;-0.2618;
4.7750;1.3046;-2.7179;2.2476;0.2269;-0.4712;-0.2618;
4.8380;1.3046;-2.7179;2.2476;0.2269;-0.4712;-0.2618;
4.8400;1.3046;-2.7179;2.2476;0.2269;-0.4712;-0.2618;
4.8400;1.3046;-2.7179;2.2476;0.1745;-0.4712;-0.2094;
4.8410;-1.5159;0.7195;-1.3286;0.1745;-0.4712;-0.2094;
4.9040;-1.5159;0.7195;-1.3286;0.1745;-0.4712;-0.2094;
